Year,Country,Image url,Region code,Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2018,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19,AMERICAS,61,5.752,Green,0.751,1.223,0.508,0.606,0.141,0.054
2019,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19,AMERICAS,61,5.779,Green,0.776,1.209,0.706,0.511,0.137,0.064
2015,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,Nan,96,4.949,Green,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227
2016,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,Nan,87,5.163,Green,0.93383,0.64367,0.70766,0.09511,0.29889,0.0
2017,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,Nan,90,5.182,Green,0.982409,1.06934,0.705186,0.204403,0.328867,0.0
2018,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,Nan,92,5.129,Green,0.915,1.078,0.758,0.28,0.216,0.0
2019,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,Nan,78,5.386,Green,0.945,1.212,0.845,0.212,0.263,0.006
2015,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2,AFRICA,128,4.332,Green,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474
2016,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2,AFRICA,137,3.974,Green,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769
2017,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2,AFRICA,142,3.766,Green,1.12209,1.22155,0.341756,0.505196,0.0993484,0.0985832
2018,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2,AFRICA,145,3.59,Green,1.017,1.174,0.417,0.557,0.042,0.092
2019,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2,AFRICA,148,3.488,Green,1.041,1.145,0.538,0.455,0.025,0.1
2015,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19,AMERICAS,16,6.983,Green,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
